name,type,value,date
a,서울특별시,10935230,1992-01-01
b,부산광역시,3882389,1992-01-01
c,대구광역시,2284191,1992-01-01
d,인천광역시,2065866,1992-01-01
e,광주광역시,1223784,1992-01-01
f,대전광역시,1134843,1992-01-01
i,경기도,6613094,1992-01-01
j,강원도,1554106,1992-01-01
k,충청북도,1403633,1992-01-01
l,충청남도,1870723,1992-01-01
m,전라북도,2027454,1992-01-01
n,전라남도,2283108,1992-01-01
o,경상북도,2872170,1992-01-01
p,경상남도,3846825,1992-01-01
q,제주특별자치도,505784,1992-01-01
a,서울특별시,10889499,1993-01-01
b,부산광역시,3862806,1993-01-01
c,대구광역시,2312166,1993-01-01
d,인천광역시,2138426,1993-01-01
e,광주광역시,1248670,1993-01-01
f,대전광역시,1189039,1993-01-01
i,경기도,7005232,1993-01-01
j,강원도,1539801,1993-01-01
k,충청북도,1418403,1993-01-01
l,충청남도,1856333,1993-01-01
m,전라북도,2016018,1993-01-01
n,전라남도,2235346,1993-01-01
o,경상북도,2876288,1993-01-01
p,경상남도,3902502,1993-01-01
q,제주특별자치도,510584,1993-01-01
a,서울특별시,10759454,1994-01-01
b,부산광역시,3839812,1994-01-01
c,대구광역시,2342680,1994-01-01
d,인천광역시,2200769,1994-01-01
e,광주광역시,1272515,1994-01-01
f,대전광역시,1232823,1994-01-01
i,경기도,7421823,1994-01-01
j,강원도,1529304,1994-01-01
k,충청북도,1425295,1994-01-01
l,충청남도,1842157,1994-01-01
m,전라북도,2002899,1994-01-01
n,전라남도,2197391,1994-01-01
o,경상북도,2873138,1994-01-01
p,경상남도,3962374,1994-01-01
q,제주특별자치도,513905,1994-01-01
a,서울특별시,10550871,1995-01-01
b,부산광역시,3883880,1995-01-01
c,대구광역시,2478589,1995-01-01
d,인천광역시,2353073,1995-01-01
e,광주광역시,1285633,1995-01-01
f,대전광역시,1265081,1995-01-01
i,경기도,7789424,1995-01-01
j,강원도,1528488,1995-01-01
k,충청북도,1439346,1995-01-01
l,충청남도,1852361,1995-01-01
m,전라북도,2006602,1995-01-01
n,전라남도,2185564,1995-01-01
o,경상북도,2770378,1995-01-01
p,경상남도,3949903,1995-01-01
q,제주특별자치도,518836,1995-01-01
a,서울특별시,10418076,1996-01-01
b,부산광역시,3867125,1996-01-01
c,대구광역시,2480345,1996-01-01
d,인천광역시,2391824,1996-01-01
e,광주광역시,1300195,1996-01-01
f,대전광역시,1293760,1996-01-01
